Data,consumo_cliente_3091901155,consumo_cliente_3095242070,consumo_cliente_4002595385,consumo_cliente_3095792772,consumo_cliente_3095080473,consumo_cliente_3091900857,consumo_cliente_3091900992,consumo_cliente_3091900961,consumo_cliente_3095680695,PRECIPITAÇÃO TOTAL. HORÁRIO (mm),PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB),PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),TEMPERATURA DO AR - BULBO SECO. HORARIA (°C),TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),UMIDADE RELATIVA DO AR. HORARIA (%),VENTO. DIREÇÃO HORARIA (gr) (° (gr)),VENTO. RAJADA MAXIMA (m/s),VENTO. VELOCIDADE HORARIA (m/s)
2013-05,100,581,?,?,948,3414,17951,316,?,96.2,1007.5,1007.85,1007.3,?,15.8,12.5,16.5,15.2,13,12,88,82,85,117,4.8,2.3
2013-06,100,905,?,?,1156,3353,7541,298,?,29.6,1009.2,1009.45,1008.95,?,13.6,10.8,14.1,13.1,11.1,10.5,92,86,89,126,4.5,2.2
2013-07,100,771,?,?,991,3317,2739,301,?,97.2,1010.4,1010.7,1010.2,?,14.4,9.2,15.1,13.8,9.8,8.7,85,79,82,86,5.6,3
2013-08,100,873,?,?,1001,3404,1615,268,?,15.8,1010.5,1010.8,1010.25,?,11.4,6.4,12,10.9,6.9,5.8,74,68,71,129.5,6.5,3.4
2013-09,100,1212,?,?,1011,3324,1570,578,?,49.4,1006.5,1006.9,1006.2,?,16.25,10.8,17.1,15.5,11.5,10.4,73,67,70,120,7.1,3.7
2013-10,100,1978,?,?,3923,3416,1294,299,?,76.8,1005.5,1005.8,1005.3,?,20.3,12.45,20.9,19.6,13.2,11.7,67,61,64,113,6.8,3.6
2013-11,4465,2936,?,?,1255,3275,835,301,?,216.6,1002.5,1002.75,1002.2,?,22.2,16.9,22.75,21.6,17.6,16.2,77,70,73,105,7.4,3.6
2013-12,2780,2725,?,?,1429,3243,746,729,?,96.6,1000.1,1000.4,999.9,?,26.4,17.8,27.2,25.6,18.4,17,65,57,61,103,6.1,3
2014-01,3228,187730,?,?,1261,4404,947,343,?,189.2,1002.1,1002.5,1001.85,?,25.75,20.5,26.55,25.1,21.2,20,75,68,71,112,5.9,2.9
2014-02,3540,207517,?,?,1288,3663,874,336,?,254.4,1001.8,1002.2,1001.5,?,24.9,20.6,25.5,24.3,21.2,19.9,79,73,76,128,6.6,3.3
2014-03,13163,183009,?,?,1342,3383,10260,623,?,199.6,1004.1,1004.4,1003.9,?,20.85,16.6,21.5,20.3,17.2,16.1,81,73,77,131,5.2,2.3
2014-04,2323,16818,?,?,1378,2993,11805,387,?,82.6,1007.2,1007.35,1007,?,20,16.3,20.5,19.3,16.75,15.8,84,77,81,113,5.8,3
2014-05,13715,1814,?,?,1415,3527,6058,398,?,143.6,1007.9,1008.1,1007.7,?,16.3,13.9,16.7,15.8,14.4,13.6,90,85,88,110,4.9,2.5
2014-06,3127,1936,?,?,1374,2988,3686,336,?,82.2,1008.5,1008.8,1008.3,?,14.1,11,14.5,13.7,11.3,10.7,90,85,88,132,6,2.9
2014-07,3154,1929,?,?,1472,3500,2526,408,?,89.6,1010.85,1011.2,1010.45,?,15.5,11.8,15.9,15.1,12.1,11.2,88,83,85,85.5,5.8,2.9
2014-08,2493,1565,?,?,1512,3492,2044,417,?,24.2,1009.15,1009.4,1008.85,?,15.7,11.6,16.4,14.95,12.1,11,75,68,72,102.5,5.9,3.3
2014-09,4349,1663,?,?,1609,3100,4477,464,?,226.6,1004.9,1005.2,1004.6,?,17.7,14,18.1,17.2,14.25,13.6,86,81,83,112,7.65,3.8
2014-10,702,1627,?,?,1604,3415,1007,420,?,123,1005,1005.3,1004.75,?,21.3,16.75,21.9,20.65,17.4,16.4,78,72,75,96,7,3.7
2014-11,2925,95696,?,?,1411,2340,601,430,?,69.6,1003,1003.3,1002.8,?,22.4,15.9,23.35,21.8,16.5,15.4,73,65,69,116,6.5,3.1
2014-12,3330,106998,?,?,635,3032,654,453,?,414.8,1001.9,1002.2,1001.5,?,23.3,19.1,23.9,22.7,19.8,18.6,79,72,76,123.5,6.5,3.1
2015-01,3956,114060,?,?,1358,3319,778,417,30,210.6,1002.7,1003,1002.3,?,24.5,21.3,25,23.9,21.9,20.7,83,76,80,109,5.7,2.8
2015-02,100,101381,?,?,1366,3229,796,424,30,143,1003.2,1003.6,1002.9,?,24.5,19.7,25.1,23.8,20.3,19.2,80,73,76,105,5.5,2.6
2015-03,100,37872,?,?,750,3193,848,299,30,92.4,1004.3,1004.5,1004.1,?,23.15,17.75,23.9,22.5,18.3,17.3,77.5,71,74,118.5,5.2,2.4
2015-04,100,1521,?,?,1323,4655,1423,404,30,28.4,1007.4,1007.6,1007.2,?,20.7,13.2,21.55,19.8,13.8,12.6,72,62,67,103,5,2.4
2015-05,8557,1596,?,?,1319,3588,3946,405,30,106.4,1009,1009.3,1008.8,?,17.7,14.7,18.2,17.2,15.1,14.3,86,80,83,95,5.4,2.6
2015-06,3553,1568,?,?,1311,2918,1898,30,30,55,1009.05,1009.45,1008.8,?,15.8,13.2,16.4,15.2,13.6,12.8,87,81,83.5,86.5,5.3,2.6
2015-07,4756,1626,?,?,30,3366,3338,380,30,0,1008.05,1008.4,1007.9,?,14.2,11.85,14.8,13.8,12.25,11.5,89,85,86.5,107,5.2,2.4
2015-08,3613,1650,?,?,30,3303,970,378,30,167.6,1005.3,1005.7,1004.8,?,17.5,15,17.9,17.1,15.4,14.6,86,81,83,118,6.5,2.6
2015-09,3342,2107,?,?,30,3288,1895,48,30,60,1004.8,1005,1004.6,?,17.1,10.6,17.8,16.6,11.2,9.9,75,68,71,128,6.4,2.5
2015-10,3013,1259,?,?,930,2614,712,280,30,317.2,1005.55,1005.9,1005.2,?,18.1,13.7,18.6,17.5,14,13.3,81,74.5,78,127.5,7.7,2.3
2015-11,4397,9789,?,?,463,3237,266,254,30,245.8,1002.95,1003.2,1002.6,?,21.2,15.4,21.7,20.5,15.9,15,80,74,77,114,7.2,3.1
2015-12,3307,33737,?,?,614,1289,939,256,30,361,1000.8,1001.3,1000.4,?,23.25,19.6,23.9,22.7,20.3,19.1,83,75,79,111,5.8,0.25
2016-01,3355,86951,?,?,918,3166,561,297,30,115.2,1001.9,1002.2,1001.6,?,25.8,19.8,26.8,25.2,20.55,19.3,72,64,68,109,6,0.45
2016-02,4799,63712,?,?,757,3647,354,287,30,92.8,1001.8,1002.2,1001.5,?,25.5,21.6,26.3,25,22.2,21,83,74,79,97,4.6,0
2016-03,3379,23870,?,?,1101,3048,2377,943,30,124.2,1006.6,1006.8,1006.3,?,20.8,16.3,21.3,20.3,16.9,15.8,82,75.5,79,136.5,5.15,0.3
2016-04,2775,582,?,?,735,3176,1177,330,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2016-05,2302,1087,?,?,686,2813,171,324,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2016-06,2598,1422,?,?,1701,3104,100,623,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2016-07,2538,1541,?,?,1278,3004,912,366,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2016-08,2802,1582,?,?,1099,3313,468,365,30,84,1007.6,1007.9,1007.3,?,15.4,10.2,16.1,14.9,10.8,9.6,72,67,70,112,5.7,3
2016-09,2581,1531,?,?,1123,3095,133,984,30,25.4,1010.5,1010.8,1010.3,?,14.9,8.3,15.7,14.2,8.9,7.7,67,61,64,?,?,?
2016-10,2489,1251,?,?,981,2865,149,442,608,239.6,1004.6,1004.8,1004.1,?,19.2,13.6,19.7,18.9,14.2,13,74,71,73,71,5.1,2.3
2016-11,100,41147,?,?,708,2979,756,455,78,84.8,1003.9,1004.1,1003.5,?,21.95,13.75,22.8,21.15,14.4,13.05,66.5,60,63,115,6.3,3.1
2016-12,2676,,?,?,846,2958,100,472,301,79.4,1000.5,1000.8,1000.2,?,24.6,18.2,25.35,23.9,19,17.6,71,64,67.5,103.5,6.6,3.2
2017-01,4748,92835,?,?,1211,3562,923,1571,301,87,1001.8,1002.15,1001.5,?,24.7,20.9,25.5,24.1,21.4,20.3,77,71.5,75,102,6.1,3.1
2017-02,4443,141406,?,?,1095,3075,884,777,414,177.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2017-03,12553,80373,?,?,1214,3439,527,997,484,89.6,1004.9,1005.1,1004.7,?,22.9,18.4,23.6,22.3,18.9,17.9,75,70,73,114,6.15,3.1
2017-04,10379,18024,?,?,1225,2731,861,642,197,281.4,1006.6,1006.9,1006.4,?,19.6,15,20,19.3,15.6,14.7,74,69,72,118,6,2.8
2017-05,3831,1616,?,?,1027,2619,207,668,211,278.2,1007.1,1007.3,1006.8,?,17.3,15,17.7,16.9,15.35,14.6,?,?,?,114.5,6.3,3.1
2017-06,1925,1607,?,?,965,2901,501,2147,649,50.8,1008.2,1008.4,1008,?,14.9,12.9,15.4,14.45,13.4,12.45,?,?,?,113,6.1,2.9
2017-07,2255,1883,?,?,949,2677,100,823,476,79.2,1011.3,1011.5,1011.1,?,16.9,12.2,17.5,16.3,12.6,11.6,73,68,70,54,6.1,3.6
2017-08,2553,1861,?,?,1351,2809,301,861,512,146.2,1006.4,1006.8,1006.2,?,16.4,11.75,16.9,15.8,12.4,11.2,80,75,77,92,7,3.7
2017-09,2942,?,?,?,1068,2813,624,2280,512,144.8,1007.45,1007.8,1007.1,?,18.5,15.25,19.15,18.05,15.55,14.9,?,?,?,115.5,7.1,3.5
2017-10,3020,?,?,?,964,2612,146,1011,352,84.2,1002.4,1002.6,1001.9,?,19.3,14.3,20,18.8,14.8,14,74,68,71,123,7.6,3.8
2017-11,1405,?,?,?,887,2222,230,1058,374,88.8,1003.1,1003.4,1002.8,?,21.2,11.95,22.25,20.45,12.6,11.2,60,52,56,131.5,6.35,3
2017-12,2249,?,?,30,1102,2819,128,1080,416,70.8,1000.9,1001.2,1000.7,?,25.3,16.5,26.6,24.4,17.2,16,63,56,60,108,6.6,3.2
2018-01,3310,?,?,30,978,3770,244,1159,466,116.2,1001,1001.3,1000.7,?,24.75,19,25.4,24.05,19.55,18.5,70,63,66.5,109,6.4,3.1
2018-02,3297,?,?,555,932,3436,316,1125,517,53.4,1002.7,1002.9,1002.4,?,24.4,17.1,25.25,23.6,17.7,16.45,68,61,65,106.5,6.2,3.1
2018-03,11191,?,?,211,1055,4487,376,30,729,132.2,1003.1,1003.4,1002.85,?,22.6,15.9,23.3,22,16.6,15.4,69,62,66,112,5.45,2.8
2018-04,4030,?,?,187,1042,3382,1266.9,1071,571,89,1005.6,1005.8,1005.3,?,22.5,18.7,23.1,22.1,19.1,18.2,?,?,?,87,5.4,3
2018-05,18435,?,?,318,1027,3084,432.55,1107,571,146,1008,1008.3,1007.8,?,18.6,14.9,19,18.4,15.4,14.5,?,?,?,104,6,3.2
2018-06,4718,?,?,55,638,3084,915.325,1144,559,47,1010,1010.3,1009.8,?,11.7,6.6,12.3,11,7.3,6,?,?,?,?,?,?
2018-07,4950,?,?,265,999,4626,493.025,36,569,81.8,1009.4,1009.7,1009,?,11.7,8.9,12,11.4,9.1,8.5,?,?,?,139,5.6,2.8
2018-08,319,?,?,265,1004,3262,493.025,994,569,61.8,1011.35,1011.6,1011,?,12.2,8.2,12.95,11.35,8.7,7.65,79,75,77,117,6.5,3.4
2018-09,4989,?,?,32,2441,3300,493.025,1311,0,145.4,1004.8,1005.1,1004.4,?,19.1,14.6,19.7,18.7,15.2,14.1,?,?,?,109,6.9,3.6
2018-10,5159,?,?,236,28,3652,227.55,925,506,49.4,1004.9,1005.2,1004.65,?,20.2,13.45,20.9,19.65,14,12.8,72,65,68,113,7.4,3.8
2018-11,0,?,?,236,29,3427,502.25,918,506,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2018-12,5221,?,?,129,5203,3527,235.75,1340,108,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2019-01,5468,?,?,129,1753,3159,534.025,928,473,686.2,1002.5,1002.8,1002.2,?,24.9,22.1,25.3,24.3,22.6,21.7,86,81,84,103,6.3,3.2
2019-02,0,?,?,129,1753,3536,557.6,908,473,57.4,1002.95,1003.3,1002.65,?,24.3,18.5,24.9,23.6,19.05,17.9,74,67,70,128,5.8,2.8
2019-03,5373,?,?,439,1369,3544,583.225,1429,264,61.4,1005.3,1005.55,1005.2,?,21.9,16.4,22.5,21.4,17,15.9,76,70,73,132.5,5.8,2.7
2019-04,4889,?,?,207,1689,1182,593.475,1009,431,162.4,1005.6,1005.8,1005.4,?,20.6,15.9,21.2,20.1,16.4,15.4,80,75,77,137,5,2.3
2019-05,13526,?,?,207,1689,3282,537.1,1004,419,116.6,1006.5,1006.7,1006.3,?,18,15.2,18.4,17.6,15.5,14.9,90,86,88,122,6,2.8
2019-06,4551,?,?,252,1791,3298,125.05,1382,184,15.6,1008,1008.3,1007.7,?,17.4,14.75,18,17.1,15.25,14.5,86,81.5,84,71.5,5.7,3.1
2019-07,4537,?,?,213,1700,1466,479.7,1104,375,91,1010.05,1010.3,1009.8,?,12.7,9.8,13.15,12.2,10.05,9.45,80,75.5,78,?,?,?
2019-08,0,?,?,213,1700,3053,478.675,1104,359,36.2,1011.3,1011.5,1011,?,14.4,8.4,15.1,13.8,9,8,79,73,76,?,?,?
2019-09,4476,?,?,277,2096,3036,0,1259,17,19.4,1008.1,1008.35,1007.9,?,16.3,8.4,17,15.7,9,7.7,69,62,65,132,6.9,3.4
2019-10,4433,?,?,220,1733,1348,508.4,1109,343,219.6,1006.1,1006.4,1005.8,?,19.7,14.6,20.3,19,15.1,14,77,70,73,120,7.5,3.8
2019-11,0,1433,?,220,2043,2822,99.425,1125,329,217.2,1002.5,1002.8,1002.3,?,22.6,16.5,23.35,22,17.3,15.9,71,65,69,114,6.6,3.5
2019-12,4373,54274,133486,298,972,2771,1892.15,1376,41,83.2,1002.5,1002.8,1002.2,?,23.9,14.7,24.7,22.95,15.5,13.8,65,55,59,137,5.5,2.5
2020-01,4302,72759,262095,234,1691,2537,1892.15,1145,300,159.4,1001.4,1001.7,1001.1,?,24.8,18.5,25.7,24.2,19.2,18,72,64,68,114,6.2,3.1
2020-02,0,70973,255791,242,1686,2656,1892.151,1163,39,105,1003.1,1003.4,1002.8,?,24.5,16.3,25.3,23.85,17.05,15.5,69.5,61,65,114.5,5.75,2.8
2020-03,4205,49971,177055,396,440,2583,5330,1886,418,50,1004.5,1004.7,1004.3,?,24.2,16.1,25.4,23.5,17,15.6,64,56,60,101,5.4,2.7
2020-04,4108,9357,38751,248,1603,2503,2752.125,1222,275,36.6,1008.4,1008.6,1008.2,?,20.3,11.6,21,19.2,12.2,10.9,69,62,65,138,5.5,2.6
2020-05,4043,485,1101,252,1595,3822,2752.125,1240,262,310.6,1008.3,1008.5,1008.15,?,15.8,9.75,16.4,15.1,10.2,9.2,77,71,75,130,5.5,2.9
2020-06,0,1783,891,375,2907,2658,11264.751,1575,418,103.4,1005.6,1005.95,1005.25,?,14.8,13.3,15.3,14.2,13.7,12.8,81,76,78,127.5,6.55,3.3
2020-07,2873,2133,1682,266,1681,1826,1609.25,1276,268,15.6,1008.3,1008.6,1007.95,?,11.45,7,12.2,10.9,7.6,6.7,80,75,77,134,6.1,3.1
2020-08,1324,1815,1573,270,1679,2635,0,1290,259,24,1008.6,1008.9,1008.4,?,16.4,11.45,17,15.8,11.9,11,67,61,64,91.5,6.5,3.7
2020-09,2845,1956,1584,458,1611,2600,0,1323,282,96.8,1006.9,1007.25,1006.6,?,16.3,11.2,16.9,15.8,11.8,10.6,76,70,73,130,6.5,3.2
2020-10,2709,1667,3355,290,1637,1387,0,1311,273,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2020-11,3247,9383,8370,296,1629,2567,0,1328,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2020-12,2836,18147,211600,644,802,2545,0,1472,511,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2021-01,2708,?,287601,331,1580,2880,0,1353,311,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2021-02,?,?,?,339,?,2555,70.725,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
